"IDEPB - 2018
RESULTADOS POR ESCOLA
LÍNGUA PORTUGUESA/MATEMÁTICA";;;;;;;;;;
Etapa de Escolaridade;Rede de Ensino;GRE;Município;Código da Escola;Escola;Nota Média Padronizada - LP;Nota Média Padronizada - MT;Indicador de Desempenho;Indicador de Fluxo;IDEPB
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;CACIMBA DE DENTRO;25059629;EEEFM SENADOR HUMBERTO LUCENA;5,25;4,87;5,06;0,97;4,89
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;DONA INES;25060058;EEEFM GOVERNADOR CLOVIS BEZERRA CAVALCANTI;3,77;3,29;3,53;0,74;2,62
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;SOLANEA;25060376;EEEFM DR ALFREDO PESSOA DE LIMA;5,04;4,84;4,94;0,77;3,78
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;SOLANEA;25060406;EEEFM ARLINDO RAMALHO;3,62;3,31;3,46;0,73;2,51
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;TACIMA;25060996;EEEFM DR TERCILIO TEIXEIRA DA CRUZ;3,90;3,71;3,80;0,62;2,35
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;BANANEIRAS;25064894;EEEFM JOSE ROCHA SOBRINHO CEPES BN-1;5,51;5,06;5,29;0,66;3,47
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;BANANEIRAS;25065025;ENE PROF PEDRO A DE ALMEIDA;3,82;3,68;3,75;0,65;2,43
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;BORBOREMA;25065513;EEEFM EFIGENIO LEITE;3,61;3,41;3,51;0,78;2,74
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;PILOES;25065726;EEEFM ANTONIETA C DE MENEZES;3,92;3,70;3,81;0,84;3,21
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;SERRARIA;25066013;EEEFM ANTONIO BENTO;4,55;3,88;4,21;0,88;3,69
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;ALAGOINHA;25066374;EEEFM AGENOR CLEMENTE DOS SANTOS;4,51;4,11;4,31;0,77;3,31
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;ARACAGI;25066676;EEEM FRANCISCO PESSOA DE BRITO;4,26;3,77;4,01;0,80;3,21
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;BELEM;25067133;EEEFM MARCIA GUEDES ALCOFORADO DE CARVALHO;3,85;3,52;3,68;0,77;2,83
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;CAICARA;25067460;EEEFM PROF MARIA GERTRUDES DE CARVALHO NEVES;4,23;3,94;4,09;0,72;2,94
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;LOGRADOURO;25067737;EEEF PREF JOSE ANTONIO NEVES;3,58;3,46;3,52;0,94;3,32
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;CUITEGI;25067869;EEEFM ODILON NELSON DANTAS;4,05;3,46;3,75;0,73;2,73
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;DUAS ESTRADAS;25068075;EEEFM SAGRADO CORACAO DE JESUS;3,90;3,82;3,86;0,37;1,42
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;SERTAOZINHO;25068342;EEEFM JOAO DE FREITAS MOUZINHO;4,24;3,91;4,07;0,71;2,90
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068628;EEEFM MONSENHOR EMILIANO CRISTO;4,48;4,06;4,27;0,70;3,00
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068636;EEEFM PROF JOSE SOARES DE CARVALHO;4,70;4,00;4,35;0,81;3,52
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068709;EEEF JOHN KENNEDY;3,50;3,46;3,48;0,85;2,97
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;GUARABIRA;25068725;EEEF PROFESSOR EDGARDO JULIO;4,49;3,78;4,14;-;-
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;MULUNGU;25069675;EEEFM MAJOR ANTONIO DE AQUINO;3,17;3,13;3,15;0,85;2,69
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;PILOEZINHOS;25070088;EEEFM SILVIO PORTO;3,91;3,72;3,81;0,86;3,29
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;PIRPIRITUBA;25070312;EEEFM AUGUSTO DE ALMEIDA;3,69;3,50;3,59;0,96;3,45
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;SERRA DA RAIZ;25070576;EEEFM MARIA JOSE MIRANDA BURITY;4,10;3,65;3,87;0,99;3,83
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;CASSERENGUE;25110780;EEEM PROFESSORA BEATRIZ MARIA DE ABREU;4,76;3,99;4,38;0,62;2,70
3ª série do Ensino Médio;ESTADUAL;2ª GRE-GUARABIRA;CACIMBA DE DENTRO;25122908;EEEFMN PEDRO TARGINO DA COSTA MOREIRA;4,07;3,82;3,95;0,71;2,79
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ASSUNCAO;25050478;EEEF DE VEREADOR JOAO MARTINIANO DOS SANTOS;4,71;4,81;4,76;0,96;4,58
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOQUEIRAO;25051652;EEEF PROFESSORA TEREZINHA LEAL;5,04;5,21;5,12;0,85;4,35
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CABACEIRAS;25053159;EEEF CLOVIS PEDROSA;6,18;5,50;5,84;1,00;5,84
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25062654;EEEF APOLLONIO ZENAYDE;5,33;5,38;5,36;0,89;4,79
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25062670;EEEF DE DEMONSTRACAO ALAGOA GRANDE;5,39;5,41;5,40;0,93;5,02
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA NOVA;25063421;EEEF PROF CARDOSO;5,79;5,22;5,51;0,93;5,10
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064142;EEEF ALVARO MACHADO;5,02;5,14;5,08;0,96;4,88
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064169;EEEF MONS JOAO COUTINHO;4,53;4,32;4,43;0,95;4,21
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072196;EEEF ANTONIO VICENTE;5,76;5,69;5,72;0,96;5,49
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072200;EEEIF AUGUSTO DOS ANJOS;4,97;5,53;5,25;0,92;4,83
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072285;EEEF MURILO BRAGA;5,58;5,40;5,49;0,81;4,46
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072315;EEEF SANTO ANTONIO;6,29;5,98;6,13;0,97;5,97
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072340;EEEF ALCEU DO AMOROSO LIMA;5,42;5,42;5,42;0,92;4,99
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;FAGUNDES;25077163;EEEF FREI ALBERTO;4,96;5,17;5,06;0,89;4,52
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078577;EEEF CONEGO ANTONIO GALDINO;5,61;5,49;5,55;0,88;4,90
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;QUEIMADAS;25079115;EEEF JOSE TAVARES;5,16;5,32;5,24;0,90;4,74
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;SERRA REDONDA;25080016;EEEFM DOM ADAUTO;5,38;5,74;5,56;0,79;4,37
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AROEIRAS;25083597;EEEF MAJOR JOSE BARBOSA;4,30;4,33;4,31;0,90;3,87
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;NATUBA;25084542;EEEF DR CARLOS PESSOA;4,65;4,09;4,37;0,88;3,86
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25114034;EEEF DOM HELDER CAMARA;5,86;5,90;5,88;0,89;5,22
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOQUEIRAO;25117700;EEEF SEVERINO BARBOSA CAMELO;3,90;4,14;4,02;0,77;3,08
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;JUAZEIRINHO;25118358;EEEF DEPUTADO PEDRO PASCOAL DE OLIVEIRA;3,69;4,29;3,99;0,82;3,26
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25123319;EEEF MANOEL BARBOSA DE LUCENA;4,22;4,28;4,25;0,92;3,90
5º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25251945;EEEF ZULEIDE CAVALCANTE PORTO;4,14;3,65;3,89;0,78;3,04
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;JUAZEIRINHO;25041525;EEEFM MARECHAL ALMEIDA BARRETO;5,30;5,22;5,26;0,63;3,34
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;LIVRAMENTO;25045059;EEEFM JOAO LELYS;3,94;4,51;4,22;0,77;3,23
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ASSUNCAO;25050427;EEEFM JOAO ROGERIO D TOLEDO;5,18;4,86;5,02;0,64;3,22
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;TAPEROA;25050435;EEEFM MELQUIADES VILAR;5,94;6,03;5,98;0,69;4,14
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;TAPEROA;25050486;EEEF E EJA FELIX DALTRO;4,45;4,47;4,46;0,70;3,12
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOQUEIRAO;25051580;EEEFM CONSELHEIRO JOSE BRAZ DO REGO;4,38;5,01;4,70;0,81;3,82
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALCANTIL;25051598;EEEFM PROFESSORA MARIA CECILIA DE CASTRO;-;-;-;0,68;-
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CATURITE;25052802;EEEFM FELIX ARAUJO;4,77;4,08;4,42;0,83;3,66
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CABACEIRAS;25053159;EEEF CLOVIS PEDROSA;5,19;5,79;5,49;0,96;5,27
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;SAO DOMINGOS DO CARIRI;25053493;EEEFM FRANCISCO DEODATO DO NASCIMENTO;4,69;5,54;5,12;0,75;3,84
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ARARA;25054767;EEEF ANESIO DEODONIO MORENO;3,66;3,84;3,75;0,85;3,17
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;REMIGIO;25057839;EEEF DR CUNHA LIMA;5,34;5,02;5,18;0,71;3,70
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;SOLEDADE;25058304;EEEFM DR TRAJANO NOBREGA;3,76;4,15;3,96;0,64;2,52
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIAL;25061402;EEEFM FRANCISCO A SILVA;4,00;3,82;3,91;0,67;2,62
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ESPERANCA;25061739;EEEFM IRINEU JOFFILY;3,91;3,81;3,86;0,66;2,56
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;SAO SEBASTIAO DE LAGOA DE ROCA;25062239;EEEF ELIDIO SOBREIRA;5,38;5,41;5,40;0,88;4,74
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25062638;EEEFM PADRE HILDON BANDEIRA;3,94;3,98;3,96;0,75;2,96
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25062670;EEEF DE DEMONSTRACAO ALAGOA GRANDE;4,03;4,38;4,21;0,84;3,52
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA NOVA;25063340;EEEFM MONSENHOR JOSE BORGES DE CARVALHO;5,40;5,13;5,26;0,68;3,57
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;MATINHAS;25063359;EEEFM DESEMBARGADOR ARTUR VIRGINIO DE MOURA;4,17;4,18;4,17;0,73;3,03
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;MATINHAS;25063405;EEEF POETA MARIO VIEIRA DA SILVA;3,40;3,52;3,46;0,59;2,04
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA NOVA;25063421;EEEF PROF CARDOSO;4,73;4,88;4,80;0,82;3,92
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064126;EEEIEFM CARLOTA BARREIRA;4,56;5,18;4,87;0,79;3,85
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064134;EEEFM MIN J A ALMEIDA;4,32;3,97;4,14;0,73;3,03
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AREIA;25064142;EEEF ALVARO MACHADO;4,04;4,76;4,40;0,63;2,76
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25070703;CAIC JOSE JOFILLY;4,82;4,60;4,71;0,56;2,65
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25071394;EEEFM MONSENHOR SALES;4,51;4,30;4,41;0,44;1,93
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072005;EEEFM ADEMAR VELOSO SILVEIRA;5,14;4,97;5,06;0,72;3,64
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072021;EEEFM SEN ARGEMIRO DE FIGUEIREDO;5,08;4,76;4,92;0,68;3,33
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072030;EEEFM NENZINHA CUNHA LIMA;5,17;4,80;4,98;-;-
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072056;EEEFM POETA CARLOS DRUMOND DE ANDRADE;4,87;4,73;4,80;0,77;3,70
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072064;EEEF MARIA AUGUSTA LUCENA BRITO;4,10;4,52;4,31;0,78;3,36
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072080;EEEF NINA ALVES DE LIMA;4,52;4,12;4,32;0,46;2,00
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072099;EEEFM ASSIS CHATEAUBRIAND;4,47;4,29;4,38;0,79;3,48
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072102;EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ;4,24;4,49;4,36;0,82;3,55
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072110;EEEFM FELIX ARAUJO;5,42;5,06;5,24;0,79;4,12
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072129;EEEFM SAO SEBASTIAO;4,71;4,28;4,50;0,75;3,37
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072137;EEEFM PROF ANESIO LEAO;4,77;4,53;4,65;0,75;3,50
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072145;EEEFM DOM LUIZ GONZAGA FERNANDES;5,12;4,61;4,87;0,69;3,35
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072161;EEEF NOSSA SENHORA DO ROSARIO;5,25;5,07;5,16;0,90;4,62
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072196;EEEF ANTONIO VICENTE;5,26;4,98;5,12;0,89;4,54
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072200;EEEIF AUGUSTO DOS ANJOS;5,97;4,95;5,46;0,46;2,52
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072218;EEEFM CLEMENTINO PROCOPIO;4,94;4,75;4,85;0,55;2,67
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072234;EEEF DE MONTE SANTO;4,85;4,95;4,90;0,72;3,52
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072242;EEEF JOSE PINHEIRO;3,42;3,62;3,52;0,50;1,76
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072277;EEEF MONTE CARMELO CEPES CGI;5,06;4,47;4,76;0,57;2,70
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072285;EEEF MURILO BRAGA;4,93;4,65;4,79;0,60;2,90
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072293;EEEF NOSSA SENHORA APARECIDA;4,85;4,68;4,76;0,68;3,26
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072307;EEEF SOLON DE LUCENA;4,82;4,11;4,47;0,80;3,55
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072340;EEEF ALCEU DO AMOROSO LIMA;5,57;5,14;5,36;0,63;3,36
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072374;EEEF MA EMILIA O DE ALMEIDA;5,56;5,71;5,64;0,68;3,86
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25072404;EEEFM RUBENS DUTRA II;3,83;4,29;4,06;0,76;3,07
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25076400;EEEFM PROF ANTONIO OLIVEIRA;4,26;3,89;4,08;0,47;1,93
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25076582;EEEFM IRMA JOAQUINA SAMPAIO;4,36;4,15;4,26;0,71;3,00
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25076590;EEEFM JOSE MIGUEL LEAO;4,44;4,12;4,28;0,78;3,35
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;FAGUNDES;25077147;EEEFM JOANA EMILIA DA SILVA;4,48;4,58;4,53;0,89;4,04
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;LAGOA SECA;25077759;EEEFM FRANCISCA MARTINIANO DA ROCHA;3,90;3,97;3,94;0,67;2,62
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;MASSARANDUBA;25078135;EEEFM MARIA ZECA SOUZA;3,92;4,17;4,05;0,68;2,76
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;MASSARANDUBA;25078143;EEEFM EVERALDO AGRA;4,20;4,71;4,45;0,72;3,19
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078550;EEEFM PLINIO LEMOS;4,89;4,77;4,83;0,71;3,42
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078569;EEEF SEVERIANO PEDRO DO NASCIMENTO;4,62;4,64;4,63;0,66;3,03
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;PUXINANA;25078577;EEEF CONEGO ANTONIO GALDINO;3,98;3,89;3,94;0,87;3,42
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;QUEIMADAS;25078992;EEEFM FRANCISCO E DO REGO;4,31;3,92;4,11;0,57;2,34
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;QUEIMADAS;25079115;EEEF JOSE TAVARES;4,67;4,63;4,65;0,84;3,92
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;SERRA REDONDA;25080016;EEEFM DOM ADAUTO;4,38;4,18;4,28;0,64;2,74
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ITATUBA;25081888;EEEFM JOSE R DE ATAIDE;4,23;3,90;4,07;0,78;3,16
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;AROEIRAS;25083490;EEEFM DEP CARLOS PESSOA FILHO;4,29;4,03;4,16;0,87;3,64
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;NATUBA;25084526;EEEFM DR FRANCISCO DE ALBUQUERQUE MONTENEGRO;4,53;4,54;4,54;0,83;3,77
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;UMBUZEIRO;25084950;EEEFM PRESIDENTE JOAO PESSOA;5,27;6,61;5,94;0,90;5,34
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25114034;EEEF DOM HELDER CAMARA;4,54;4,67;4,61;0,84;3,87
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25114433;EEEF SENADOR HUMBERTO LUCENA;4,84;4,59;4,71;0,66;3,11
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25114808;EEEFM PROF ITAN PEREIRA;5,98;5,94;5,96;0,87;5,16
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25117459;EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA;4,77;4,39;4,58;0,78;3,59
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25117688;EEEF IRMA STEFANIE;4,69;4,55;4,62;0,59;2,73
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOQUEIRAO;25117700;EEEF SEVERINO BARBOSA CAMELO;3,80;4,68;4,24;0,88;3,72
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25117858;EEEF REITOR EDVALDO DO O;5,58;4,96;5,27;0,62;3,26
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25117866;EEEF POETISA VICENTINA FIGUEIREDO VITAL DO REGO;4,77;4,66;4,72;0,75;3,55
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;JUAZEIRINHO;25118358;EEEF DEPUTADO PEDRO PASCOAL DE OLIVEIRA;3,76;3,37;3,57;-;-
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25120670;EEEFM MAJOR VENEZIANO VITAL DO REGO;4,13;4,09;4,11;0,64;2,62
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;ALAGOA GRANDE;25123319;EEEF MANOEL BARBOSA DE LUCENA;5,21;4,88;5,04;0,77;3,87
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25123998;ESCOLA WALNYZA BORBOREMA CUNHA;4,99;4,90;4,94;0,85;4,21
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;QUEIMADAS;25126415;EEEFM TEREZA ALVES DE MOURA;5,33;5,08;5,21;0,72;3,76
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25152815;EEEFM ISABEL RODRIGUES DE MELO;3,55;3,38;3,46;0,72;2,50
9º ano do Ensino Fundamental;ESTADUAL;3ª GRE-CAMPINA GRANDE;CAMPINA GRANDE;25251945;EEEF ZULEIDE CAVALCANTE PORTO;3,65;3,86;3,76;0,75;2,81
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;JUAZEIRINHO;25041525;EEEFM MARECHAL ALMEIDA BARRETO;5,07;4,80;4,94;0,83;4,12
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;LIVRAMENTO;25045059;EEEFM JOAO LELYS;4,85;4,90;4,87;0,80;3,90
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;ASSUNCAO;25050427;EEEFM JOAO ROGERIO D TOLEDO;4,95;4,27;4,61;0,89;4,09
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;TAPEROA;25050435;EEEFM MELQUIADES VILAR;5,96;6,26;6,11;0,62;3,77
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;TAPEROA;25050486;EEEF E EJA FELIX DALTRO;4,52;4,31;4,42;-;-
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;BARRA DE SAO MIGUEL;25051296;EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO;3,89;3,57;3,73;0,82;3,07
3ª série do Ensino Médio;ESTADUAL;3ª GRE-CAMPINA GRANDE;BOQUEIRAO;25051580;EEEFM CONSELHEIRO JOSE BRAZ DO REGO;4,07;4,00;4,03;0,85;3,43
